symbol,name,reportDate,fiscalDateEnding,estimate,currency
A,Agilent Technologies Inc,2024-02-27,2024-01-31,1.22,USD
A,Agilent Technologies Inc,2024-05-21,2024-04-30,1.26,USD
AA,Alcoa Corp,2024-04-17,2024-03-31,-0.41,USD
AABVF,AABVF,2024-04-27,2024-01-31,,CAD
AACAY,AACAY,2024-03-21,2023-12-31,0.0373,CNY
AACAY,AACAY,2024-05-17,2024-03-31,0.022,CNY
AACG,ATA Creativity Global,2024-03-28,2023-12-31,,CNY
AACG,ATA Creativity Global,2024-05-09,2024-03-31,,CNY
AACTF,AACTF,2024-02-28,2023-12-31,,USD
AADI,Aadi Bioscience Inc,2024-03-26,2023-12-31,-0.65,USD
AADI,Aadi Bioscience Inc,2024-05-08,2024-03-31,-0.7033,USD
AAGIY,AAGIY,2024-03-08,2023-12-31,1.18,USD
AAGRY,AAGRY,2024-04-23,2024-03-31,0,IDR
AAIC,AAIC,2024-03-29,2023-12-31,0.05,USD
AAIC,AAIC,2024-05-13,2024-03-31,,USD
AAIGF,AAIGF,2024-03-08,2023-12-31,0.2952,USD
AAIRD,AAIRD,2024-04-03,2024-03-31,,CAD
AAIRF,AAIRF,2024-04-03,2024-03-31,,CAD
AAL,American Airlines Group Inc,2024-04-25,2024-03-31,-0.22,USD
AAM-PA,AAM-PA,2024-05-07,2024-03-31,,USD
AAMC,Altisource Asset Management Corp,2024-03-21,2023-12-31,,USD
AAMC,Altisource Asset Management Corp,2024-05-13,2024-03-31,,USD
AAME,Atlantic American Corp,2024-03-22,2023-12-31,0,USD
AAN,Aarons Company Inc (The),2024-02-26,2023-12-31,0.03,USD
AAN,Aarons Company Inc (The),2024-04-22,2024-03-31,0.36,USD
AAOI,Applied Optoelectronics Inc,2024-02-22,2023-12-31,-0.01,USD
AAOI,Applied Optoelectronics Inc,2024-05-02,2024-03-31,-0.0067,USD
AAON,AAON Inc,2024-02-28,2023-12-31,0.51,USD
AAON,AAON Inc,2024-05-02,2024-03-31,0.46,USD
AAP,Advance Auto Parts Inc,2024-02-28,2023-12-31,0.23,USD
AAPL,Apple Inc,2024-05-02,2024-03-31,1.41,USD
AAT,American Assets Trust Inc,2024-04-23,2024-03-31,0.14,USD
AATC,AATC,2024-03-19,2023-12-31,0,USD
AATC,AATC,2024-05-07,2024-03-31,,USD
AATGD,AATGD,2024-05-01,2024-03-31,,USD
AATGF,AATGF,2024-05-01,2024-03-31,,CAD
AAU,Almaden Minerals Ltd,2024-03-22,2023-12-31,-0.0135,CAD
AAU,Almaden Minerals Ltd,2024-05-08,2024-03-31,,CAD
AAVVF,AAVVF,2024-04-25,2024-03-31,0.235,CAD
AAWH,AAWH,2024-03-12,2023-12-31,-0.07,USD
AAWH,AAWH,2024-05-09,2024-03-31,-0.065,USD
AB,AllianceBernstein Holding Lp,2024-04-24,2024-03-31,0.72,USD
ABAT,Advanced Battery Technologies Inc,2024-05-13,2024-03-31,-0.11,USD
ABBNY,ABBNY,2024-04-18,2024-03-31,0.5109,USD
ABBRF,ABBRF,2024-04-13,2024-03-31,,USD
ABBV,Abbvie Inc,2024-04-25,2024-03-31,2.35,USD
ABC,ABC,2024-04-30,2024-03-31,,USD
ABCAF,ABCAF,2024-05-17,2024-03-31,,CAD
ABCB,Ameris Bancorp,2024-04-25,2024-03-31,1.04,USD
ABCL,AbCellera Biologics Inc,2024-05-02,2024-03-31,-0.12,USD
ABCP,ABCP,2024-03-26,2023-12-31,,USD
ABCP,ABCP,2024-04-30,2024-03-31,,USD
ABEO,Abeona Therapeutics Inc,2024-03-27,2023-12-31,-0.47,USD
ABEO,Abeona Therapeutics Inc,2024-05-09,2024-03-31,-0.59,USD
ABEV,Ambev S.A.,2024-02-29,2023-12-31,0.0548,BRL
ABEV,Ambev S.A.,2024-05-08,2024-03-31,0.0434,BRL
ABG,Asbury Automotive Group Inc,2024-04-23,2024-03-31,7.77,USD
ABILF,ABILF,2024-02-28,2023-12-31,0,USD
ABILF,ABILF,2024-04-30,2024-03-31,0,USD
ABIO,ARCA biopharma Inc,2024-04-22,2024-03-31,,USD
ABL,Abacus Life Inc - Class A,2024-04-18,2024-03-31,,USD
ABLZF,ABLZF,2024-04-18,2024-03-31,0.5109,USD
ABM,ABM Industries Inc,2024-03-06,2024-01-31,0.71,USD
ABMBF,ABMBF,2024-02-23,2023-12-31,,CAD
ABMBF,ABMBF,2024-05-18,2024-03-31,,CAD
ABMC,ABMC,2024-02-28,2023-12-31,0,USD
ABML,ABML,2024-05-13,2024-03-31,,USD
ABMLD,ABMLD,2024-05-13,2024-03-31,,USD
ABNB,Airbnb Inc - Class A,2024-05-07,2024-03-31,0.23,USD
ABOS,Acumen Pharmaceuticals Inc,2024-03-25,2023-12-31,-0.26,USD
ABOS,Acumen Pharmaceuticals Inc,2024-05-06,2024-03-31,-0.255,USD
ABR,Arbor Realty Trust Inc,2024-05-03,2024-03-31,0.42,USD
ABSI,Absci Corp,2024-03-25,2023-12-31,-0.22,USD
ABSI,Absci Corp,2024-05-13,2024-03-31,-0.17,USD
ABSSF,ABSSF,2024-03-07,2023-12-31,,USD
ABSSF,ABSSF,2024-05-07,2024-03-31,,USD
ABST,ABST,2024-05-13,2024-03-31,,USD
ABT,Abbott Laboratories,2024-04-17,2024-03-31,0.96,USD
ABUS,Arbutus Biopharma Corp,2024-02-29,2023-12-31,-0.12,USD
ABUS,Arbutus Biopharma Corp,2024-05-02,2024-03-31,-0.115,USD
ABVC,ABVC BioPharma Inc,2024-03-29,2023-12-31,,USD
ABVC,ABVC BioPharma Inc,2024-05-13,2024-03-31,,USD
ABVX,Abivax,2024-03-14,2023-12-31,-0.92,EUR
ABVX,Abivax,2024-04-02,2024-03-31,-0.92,EUR
AC,Associated Capital Group Inc - Class A,2024-05-08,2024-03-31,,USD
ACA,Arcosa Inc,2024-02-22,2023-12-31,0.49,USD
ACA,Arcosa Inc,2024-04-25,2024-03-31,0.6433,USD
ACAD,Acadia Pharmaceuticals Inc,2024-02-27,2023-12-31,0.3,USD
ACAD,Acadia Pharmaceuticals Inc,2024-05-06,2024-03-31,0.1933,USD
ACAI,ACAI,2024-05-01,2024-02-29,0,USD
ACAN,ACAN,2024-05-15,2024-03-31,,USD
ACAZF,ACAZF,2024-05-01,2024-03-31,,USD
ACCD,Accolade Inc,2024-04-25,2024-02-29,-0.06,USD
ACCFF,ACCFF,2024-03-21,2023-12-31,,CAD
ACCFF,ACCFF,2024-05-06,2024-03-31,,CAD
ACCO,Acco Brands Corporation,2024-02-22,2023-12-31,0.33,USD
ACCO,Acco Brands Corporation,2024-05-02,2024-03-31,0.029,USD
ACCYY,ACCYY,2024-02-22,2023-12-31,0,EUR
