symbol,name,reportDate,fiscalDateEnding,estimate,currency
A,Agilent Technologies Inc,2/27/2024,1/31/2024,1.22,USD
A,Agilent Technologies Inc,5/21/2024,4/30/2024,1.26,USD
AA,Alcoa Corp,4/17/2024,3/31/2024,-0.41,USD
AACTF,AACTF,2/28/2024,12/31/2023,,USD
AADI,Aadi Bioscience Inc,3/26/2024,12/31/2023,-0.65,USD
AADI,Aadi Bioscience Inc,5/8/2024,3/31/2024,-0.7033,USD
AAGIY,AAGIY,3/8/2024,12/31/2023,1.18,USD
AAIC,AAIC,3/29/2024,12/31/2023,0.05,USD
AAIC,AAIC,5/13/2024,3/31/2024,,USD
AAIGF,AAIGF,3/8/2024,12/31/2023,0.2952,USD
AAL,American Airlines Group Inc,4/25/2024,3/31/2024,-0.22,USD
AAM-PA,AAM-PA,5/7/2024,3/31/2024,,USD
AAMC,Altisource Asset Management Corp,3/21/2024,12/31/2023,,USD
AAMC,Altisource Asset Management Corp,5/13/2024,3/31/2024,,USD
AAME,Atlantic American Corp,3/22/2024,12/31/2023,0,USD
AAN,Aarons Company Inc (The),2/26/2024,12/31/2023,0.03,USD
AAN,Aarons Company Inc (The),4/22/2024,3/31/2024,0.36,USD
AAOI,Applied Optoelectronics Inc,2/22/2024,12/31/2023,-0.01,USD
AAOI,Applied Optoelectronics Inc,5/2/2024,3/31/2024,-0.0067,USD
AAON,AAON Inc,2/28/2024,12/31/2023,0.51,USD
AAON,AAON Inc,5/2/2024,3/31/2024,0.46,USD
AAP,Advance Auto Parts Inc,2/28/2024,12/31/2023,0.23,USD
AAPL,Apple Inc,5/2/2024,3/31/2024,1.41,USD
AAT,American Assets Trust Inc,4/23/2024,3/31/2024,0.14,USD
AATC,AATC,3/19/2024,12/31/2023,0,USD
AATC,AATC,5/7/2024,3/31/2024,,USD
AATGD,AATGD,5/1/2024,3/31/2024,,USD
AAWH,AAWH,3/12/2024,12/31/2023,-0.07,USD
AAWH,AAWH,5/9/2024,3/31/2024,-0.065,USD
AB,AllianceBernstein Holding Lp,4/24/2024,3/31/2024,0.72,USD
ABAT,Advanced Battery Technologies Inc,5/13/2024,3/31/2024,-0.11,USD
ABBNY,ABBNY,4/18/2024,3/31/2024,0.5109,USD
ABBRF,ABBRF,4/13/2024,3/31/2024,,USD
ABBV,Abbvie Inc,4/25/2024,3/31/2024,2.35,USD
ABC,ABC,4/30/2024,3/31/2024,,USD
ABCB,Ameris Bancorp,4/25/2024,3/31/2024,1.04,USD
ABCL,AbCellera Biologics Inc,5/2/2024,3/31/2024,-0.12,USD
ABCP,ABCP,3/26/2024,12/31/2023,,USD
ABCP,ABCP,4/30/2024,3/31/2024,,USD
ABEO,Abeona Therapeutics Inc,3/27/2024,12/31/2023,-0.47,USD
ABEO,Abeona Therapeutics Inc,5/9/2024,3/31/2024,-0.59,USD
ABG,Asbury Automotive Group Inc,4/23/2024,3/31/2024,7.77,USD
ABILF,ABILF,2/28/2024,12/31/2023,0,USD
ABILF,ABILF,4/30/2024,3/31/2024,0,USD
ABIO,ARCA biopharma Inc,4/22/2024,3/31/2024,,USD
ABL,Abacus Life Inc - Class A,4/18/2024,3/31/2024,,USD
ABLZF,ABLZF,4/18/2024,3/31/2024,0.5109,USD
ABM,ABM Industries Inc,3/6/2024,1/31/2024,0.71,USD
ABMC,ABMC,2/28/2024,12/31/2023,0,USD
ABML,ABML,5/13/2024,3/31/2024,,USD
ABMLD,ABMLD,5/13/2024,3/31/2024,,USD
ABNB,Airbnb Inc - Class A,5/7/2024,3/31/2024,0.23,USD
ABOS,Acumen Pharmaceuticals Inc,3/25/2024,12/31/2023,-0.26,USD
ABOS,Acumen Pharmaceuticals Inc,5/6/2024,3/31/2024,-0.255,USD
ABR,Arbor Realty Trust Inc,5/3/2024,3/31/2024,0.42,USD
ABSI,Absci Corp,3/25/2024,12/31/2023,-0.22,USD
ABSI,Absci Corp,5/13/2024,3/31/2024,-0.17,USD
ABSSF,ABSSF,3/7/2024,12/31/2023,,USD
ABSSF,ABSSF,5/7/2024,3/31/2024,,USD
ABST,ABST,5/13/2024,3/31/2024,,USD
ABT,Abbott Laboratories,4/17/2024,3/31/2024,0.96,USD
ABUS,Arbutus Biopharma Corp,2/29/2024,12/31/2023,-0.12,USD
ABUS,Arbutus Biopharma Corp,5/2/2024,3/31/2024,-0.115,USD
ABVC,ABVC BioPharma Inc,3/29/2024,12/31/2023,,USD
ABVC,ABVC BioPharma Inc,5/13/2024,3/31/2024,,USD
AC,Associated Capital Group Inc - Class A,5/8/2024,3/31/2024,,USD
ACA,Arcosa Inc,2/22/2024,12/31/2023,0.49,USD
ACA,Arcosa Inc,4/25/2024,3/31/2024,0.6433,USD
ACAD,Acadia Pharmaceuticals Inc,2/27/2024,12/31/2023,0.3,USD
ACAD,Acadia Pharmaceuticals Inc,5/6/2024,3/31/2024,0.1933,USD
ACAI,ACAI,5/1/2024,2/29/2024,0,USD
ACAN,ACAN,5/15/2024,3/31/2024,,USD
ACAZF,ACAZF,5/1/2024,3/31/2024,,USD
ACCD,Accolade Inc,4/25/2024,2/29/2024,-0.06,USD
ACCO,Acco Brands Corporation,2/22/2024,12/31/2023,0.33,USD
ACCO,Acco Brands Corporation,5/2/2024,3/31/2024,0.029,USD
ACDC,ProFrac Holding Corp Class A,3/21/2024,12/31/2023,0.02,USD
ACDC,ProFrac Holding Corp Class A,5/10/2024,3/31/2024,0.1931,USD
ACEL,Accel Entertainment Inc - Class A1,2/28/2024,12/31/2023,0.18,USD
ACEL,Accel Entertainment Inc - Class A1,5/1/2024,3/31/2024,0.2348,USD
ACER,ACER,3/25/2024,12/31/2023,-0.09,USD
ACER,ACER,5/13/2024,3/31/2024,,USD
ACET,Adicet Bio Inc,3/13/2024,12/31/2023,-0.69,USD
ACET,Adicet Bio Inc,5/7/2024,3/31/2024,-0.7143,USD
ACFN,ACFN,3/14/2024,12/31/2023,,USD
ACFN,ACFN,5/9/2024,3/31/2024,,USD
ACFND,ACFND,3/14/2024,12/31/2023,,USD
ACFND,ACFND,5/9/2024,3/31/2024,,USD
ACGL,Arch Capital Group Ltd,4/24/2024,3/31/2024,2.04,USD
ACGN,ACGN,4/11/2024,3/31/2024,,USD
ACHC,Acadia Healthcare Company Inc,2/27/2024,12/31/2023,0.79,USD
ACHC,Acadia Healthcare Company Inc,4/24/2024,3/31/2024,0.8123,USD
ACHL,Achilles Therapeutics Plc,3/5/2024,12/31/2023,-0.14,USD
ACHL,Achilles Therapeutics Plc,5/8/2024,3/31/2024,-0.55,USD
ACHR,Archer Aviation Inc - Class A,2/26/2024,12/31/2023,-0.28,USD
ACHR,Archer Aviation Inc - Class A,5/9/2024,3/31/2024,-0.37,USD
ACHV,Achieve Life Sciences Inc,3/14/2024,12/31/2023,-0.32,USD
ACHV,Achieve Life Sciences Inc,5/7/2024,3/31/2024,-0.3133,USD
ACI,Albertsons Companies Inc - Class A,4/9/2024,2/29/2024,0.52,USD
ACIC,American Coastal Insurance Corp,2/29/2024,12/31/2023,-0.1,USD
ACIC,American Coastal Insurance Corp,5/13/2024,3/31/2024,0.37,USD
ACIW,ACI Worldwide Inc,2/29/2024,12/31/2023,0.97,USD
ACIW,ACI Worldwide Inc,5/2/2024,3/31/2024,-0.1533,USD
ACLS,Axcelis Technologies Inc,5/1/2024,3/31/2024,1.24,USD
ACLX,Arcellx Inc,3/21/2024,12/31/2023,-0.5325,USD
ACLX,Arcellx Inc,5/8/2024,3/31/2024,-0.629,USD
ACM,AECOM,5/6/2024,3/31/2024,1.03,USD
ACMR,ACM Research Inc - Class A,2/28/2024,12/31/2023,0.17,USD
ACMR,ACM Research Inc - Class A,5/3/2024,3/31/2024,0.1643,USD
ACMTA,ACMTA,3/15/2024,12/31/2023,,USD
ACMTA,ACMTA,5/6/2024,3/31/2024,,USD
ACN,Accenture plc - Class A,3/21/2024,2/29/2024,2.66,USD
ACNB,ACNB Corp,4/25/2024,3/31/2024,0.79,USD
ACNT,Ascent Industries Company,3/29/2024,12/31/2023,-0.08,USD
ACNT,Ascent Industries Company,5/7/2024,3/31/2024,0.17,USD
ACON,Aclarion Inc,2/28/2024,12/31/2023,-1.6,USD
ACOR,Acorda Therapeutics Inc,3/7/2024,12/31/2023,,USD
ACOR,Acorda Therapeutics Inc,5/2/2024,3/31/2024,,USD
ACR,ACRES Commercial Realty Corp,2/28/2024,12/31/2023,0.47,USD
ACR,ACRES Commercial Realty Corp,5/1/2024,3/31/2024,0.41,USD
ACRE,Ares Commercial Real Estate Corp,2/22/2024,12/31/2023,-0.01,USD
ACRE,Ares Commercial Real Estate Corp,4/30/2024,3/31/2024,0.2714,USD
ACRG,ACRG,4/17/2024,3/31/2024,,USD
ACRHF,ACRHF,3/20/2024,12/31/2023,,USD
